doc_cd,doc_dept_cd,doc_id,doc_vers_no,doc_dscr,contract_contact_nm,contract_contact_voice_ph_no,contract_contact_email_ad,ma_prch_lmt_am,ma_itd_ord_am,ma_do_rfed_am,efbgn_dt,efend_dt,gnrc_po_rpt_1,rpt_dscr,brd_awd_dt,brd_awd_no,cat_dscr,doc_vend_ln_no,vend_cust_cd,lgl_nm,alias_nm,so_doc_cd,so_doc_dept_cd,so_doc_id,today,row_key
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,13,KUR8303988,KURKJIAN ENGINEERING CORP,N/A,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341KUR8303988
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,4,KUR7069150,KURKJIAN ENGINEERING CORP,N/A,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341KUR7069150
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,11,BUR0879750,BURY HOLDINGS INC,BURY-AUS INC OR BURY INC,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341BUR0879750
MA,6100,CA230000004,3,STREET REHABILITATION PHASE 3 IDIQ #5,Capital Contracting Office,unknown,unknown,5000000,4519820,2106975.31,2023-09-13T00:00:00.000Z,2024-09-12T00:00:00.000Z,10,Competitive Acquisition,0023-08-31T00:00:00.000Z,27,Construction,1,V00000900503,ALPHA PAVING INDUSTRIES LLC,N/A,IFB,6100,CLMC993,2026-05-11T00:00:00.000Z,MA6100CA2300000043V00000900503
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,10,VS0000005944,"BURY+PARTNERS - HS&A, INC.","HS&A, INC.",RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341VS0000005944
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,8,VC0000102835,KELLOGG BROWN & ROOT LLC,N/A,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341VC0000102835
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,5,GSW7111865,OTHON INC,N/A,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341GSW7111865
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,2,FRE1930500,FREESE AND NICHOLS INC,FREESE AND NICHOLS,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341FRE1930500
MA,6100,SA220000001,1,WALNUT CREEK TRAIL - IH35 TO SOUTHERN WALNUT CREEK TRAIL,Capital Contracting Office,unknown,unknown,5000000,4386932.29,1929201.61,2022-04-09T00:00:00.000Z,2028-04-10T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0021-09-30T00:00:00.000Z,12,Sole and Single Source,1,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP319,2026-05-11T00:00:00.000Z,MA6100SA2200000011HAL7038625
MA,6100,PA200000049,4,2020 DSD CONSTRUCTION MATERIALS ENGINEERING SERVICES RL,Capital Contracting Office,unknown,unknown,5000000,4432500,2681402.47,2020-05-07T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0020-03-26T00:00:00.000Z,7,Professional Services,3,V00000939833,"HVJ SOUTH CENTRAL TEXAS - M&J, INC.",N/A,RFQS,6100,CLMP285,2026-05-11T00:00:00.000Z,MA6100PA2000000494V00000939833
MA,6100,PA170000045,9,2017 WATER AND WASTEWATER SCADA SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,5000000,4264660.73,3871254.45,2017-05-08T00:00:00.000Z,2023-12-31T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0017-03-23T00:00:00.000Z,10,Sole and Single Source,2,ARC8304977,ARCADIS US INC,N/A,RFQS,6100,CLMP214,2026-05-11T00:00:00.000Z,MA6100PA1700000459ARC8304977
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,2011-04-21T00:00:00.000Z,2023-12-31T00:00:00.000Z,10,Competitive Acquisition,0011-04-21T00:00:00.000Z,10,Professional Services,14,BRO6047450,KELLOGG BROWN & ROOT SERVICES INC,N/A,RFQS,6100,CLMP058A,2026-05-11T00:00:00.000Z,MA6100PA11000004341BRO6047450
MA,6100,PA170000045,9,2017 WATER AND WASTEWATER SCADA SERVICES ROTATION LIST,Capital Contracting Office,unknown,unknown,5000000,4264660.73,3871254.45,2017-05-08T00:00:00.000Z,2023-12-31T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0017-03-23T00:00:00.000Z,10,Sole and Single Source,3,VS0000021255,"CH2M HILL ENGINEERS, INC.",CH2M HILL ENGINEERS,RFQS,6100,CLMP214,2026-05-11T00:00:00.000Z,MA6100PA1700000459VS0000021255
MA,6100,PA200000049,4,2020 DSD CONSTRUCTION MATERIALS ENGINEERING SERVICES RL,Capital Contracting Office,unknown,unknown,5000000,4432500,2681402.47,2020-05-07T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0020-03-26T00:00:00.000Z,7,Professional Services,1,V00000923991,"KLEINFELDER, INC.",KLEINFELDER,RFQS,6100,CLMP285,2026-05-11T00:00:00.000Z,MA6100PA2000000494V00000923991
CT,6100,17052600559,14,ONION CREEK FIRE EMS STATION REISSUE,Contract and Land Management Department,unknown,unknown,4952044.83,4952044.83,4918121.01,2017-06-01T00:00:00.000Z,,15,Alt Proc Method (252),0017-03-23T00:00:00.000Z,14,Other Contracting,1,BAR7111710,RODRIGUEZ BARR INC,THE BARR CO AIA,CSP,6100,CLMB326A,2026-05-11T00:00:00.000Z,CT61001705260055914BAR7111710
CT,6100,19071800626,6,WEST ALLANDALE AND TRAILRIDGE DRIVE UTILITY LINE RENEWAL,Contract and Land Management Department,unknown,unknown,4935371,4935371,4378139.6,2019-07-19T00:00:00.000Z,,10,Competitive Acquisition,0019-06-19T00:00:00.000Z,6,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC734,2026-05-11T00:00:00.000Z,CT6100190718006266SAN8316404
CT,6100,22122700147,5,BARTON HILLS WATER & WASTEWATER PIPELINE RENEWA,Contract and Land Management Department,unknown,unknown,4849895.25,4849895.25,1927742.16,2023-03-21T00:00:00.000Z,,10,Competitive Acquisition,0022-12-01T00:00:00.000Z,19,Construction,1,V00000938086,"JKB CONSTRUCTION COMPANY, LLC",N/A,IFB,6100,CLMC937,2026-05-11T00:00:00.000Z,CT6100221227001475V00000938086
MA,6100,SA210000007,3,CMR FOR MEXICAN AMERICAN CULTURAL CENTER - PHASE 2,Capital Contracting Office,unknown,unknown,4819039.39,4819039.39,53472.98,2020-12-17T00:00:00.000Z,2024-04-05T00:00:00.000Z,15,Alt Proc Method (252),0020-09-17T00:00:00.000Z,9,Other Contracting,1,VS0000014874,"ROGERS-O'BRIEN CONSTRUCTION COMPANY, LLC",N/A,RFQS,6100,CLMA039,2026-05-11T00:00:00.000Z,MA6100SA2100000073VS0000014874
CT,6100,21052000586,17,NORTH TARRYTOWN WWW PIPELINE RENEWAL,Contract and Land Management Department,unknown,unknown,4811361.37,4811361.37,4523369.15,2021-05-21T00:00:00.000Z,,10,Competitive Acquisition,0021-05-20T00:00:00.000Z,5,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC838,2026-05-11T00:00:00.000Z,CT61002105200058617SMI8307578
MA,6100,PA230000057,1,2023 SUBSURFACE UTILITY ENGINEERING (SUE) SERVICES RL,Capital Contracting Office,unknown,unknown,4800000,0,0,2023-02-28T00:00:00.000Z,2027-02-28T00:00:00.000Z,10,Competitive Acquisition,0022-11-15T00:00:00.000Z,33,Professional Services,3,V00000908152,"THE RIOS GROUP, INC.",N/A,RFQS,6100,CLMP316,2026-05-11T00:00:00.000Z,MA6100PA2300000571V00000908152
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,8,VS0000010692,"APTIM GOVERNMENT SOLUTIONS, LLC",N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236VS0000010692
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,9,V00000968494,APTIM CORP.,"APTIM GOVERNMENT SOLUTIONS, LLC, APTIM ENVIRONMENTAL &",RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236V00000968494
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,2,URS8300867,URS CORP,N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236URS8300867
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,3,TRC7162035,TRC ENVIRONMENTAL CORPORATION,TRC,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236TRC7162035
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,4,SHA8306590,"APTIM ENVIRONMENTAL & INFRASTRUCTURE, LLC",N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236SHA8306590
MA,6100,PA230000057,1,2023 SUBSURFACE UTILITY ENGINEERING (SUE) SERVICES RL,Capital Contracting Office,unknown,unknown,4800000,0,0,2023-02-28T00:00:00.000Z,2027-02-28T00:00:00.000Z,10,Competitive Acquisition,0022-11-15T00:00:00.000Z,33,Professional Services,1,COB7111480,COBB FENDLEY & ASSOC INC,N/A,RFQS,6100,CLMP316,2026-05-11T00:00:00.000Z,MA6100PA2300000571COB7111480
MA,6100,SA220000008,1,CMR SERVICES FOR ASIAN AMERICAN RESOURCE CENTER RENOVATIONS,Capital Contracting Office,unknown,unknown,4800000,123894,69470,2022-01-28T00:00:00.000Z,2025-06-30T00:00:00.000Z,15,Alt Proc Method (252),0021-07-29T00:00:00.000Z,17,Other Contracting,1,VC0000103145,FLINTCO LLC,N/A,RFQS,6100,CLMA041,2026-05-11T00:00:00.000Z,MA6100SA2200000081VC0000103145
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,7,WOO7028055,URS CORP,N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236WOO7028055
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,1,WES5125100,WESTON SOLUTIONS INC,"WESTON SOLUTIONS, INC.",RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236WES5125100
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,6,INT8308241,"INTERA, INC",N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236INT8308241
MA,6100,PA230000057,1,2023 SUBSURFACE UTILITY ENGINEERING (SUE) SERVICES RL,Capital Contracting Office,unknown,unknown,4800000,0,0,2023-02-28T00:00:00.000Z,2027-02-28T00:00:00.000Z,10,Competitive Acquisition,0022-11-15T00:00:00.000Z,33,Professional Services,5,V00000964614,"T2 UES, INC.",T2 UTILITY ENGINEERS,RFQS,6100,CLMP316,2026-05-11T00:00:00.000Z,MA6100PA2300000571V00000964614
MA,6100,PA230000057,1,2023 SUBSURFACE UTILITY ENGINEERING (SUE) SERVICES RL,Capital Contracting Office,unknown,unknown,4800000,0,0,2023-02-28T00:00:00.000Z,2027-02-28T00:00:00.000Z,10,Competitive Acquisition,0022-11-15T00:00:00.000Z,33,Professional Services,4,SUR7046940,SURVEYING AND MAPPING LLC,SAM LLC,RFQS,6100,CLMP316,2026-05-11T00:00:00.000Z,MA6100PA2300000571SUR7046940
MA,6100,PA150000002,36,2014 ENVIRONMENTAL SERVICES ROTATION LIST,Contract and Land Management Department,unknown,unknown,4800000,4381512.65,4159736.6,2014-08-28T00:00:00.000Z,2024-12-31T00:00:00.000Z,10,Competitive Acquisition,0014-08-28T00:00:00.000Z,22,Professional Services,5,BAE7086810,BAER ENGINEERING & ENVIRONMENTAL CONSULTING INC,N/A,RFQS,6100,CLMP150,2026-05-11T00:00:00.000Z,MA6100PA15000000236BAE7086810
MA,6100,PA230000057,1,2023 SUBSURFACE UTILITY ENGINEERING (SUE) SERVICES RL,Capital Contracting Office,unknown,unknown,4800000,0,0,2023-02-28T00:00:00.000Z,2027-02-28T00:00:00.000Z,10,Competitive Acquisition,0022-11-15T00:00:00.000Z,33,Professional Services,2,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP316,2026-05-11T00:00:00.000Z,MA6100PA2300000571HAL7038625
MA,2200,GA230000051,1,LIQUID PHOSPHATE,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,4640000,1081074.61,742449.18,2023-06-01T00:00:00.000Z,2028-05-31T00:00:00.000Z,10,Competitive Acquisition,0023-06-01T00:00:00.000Z,23,Commodities (Goods),1,V00000968540,CONDY HOLDINGS LLC,CARUS LLC,IFB,2200,AMA1086,2026-05-11T00:00:00.000Z,MA2200GA2300000511V00000968540
CT,6100,22062800675,4,VARGAS NEIGHBORHOOD WATER AND WASTEWATER PIPELINE RENEWAL,Contract and Land Management Department,unknown,unknown,4634322.9,4634322.9,3178910.16,2023-05-09T00:00:00.000Z,,10,Competitive Acquisition,0022-06-16T00:00:00.000Z,18,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC916,2026-05-11T00:00:00.000Z,CT6100220628006754SAN8316404
MA,6100,SA220000009,3,CONGRESS AVENUE URBAN DESIGN INITIATIVE,Capital Contracting Office,unknown,unknown,4551253,4551253,2908456.91,2022-05-25T00:00:00.000Z,2026-12-31T00:00:00.000Z,10,Competitive Acquisition,0022-02-03T00:00:00.000Z,1,Professional Services,1,HDR8318192,HDR ENGINEERING INC,N/A,RFQS,6100,CLMP321,2026-05-11T00:00:00.000Z,MA6100SA2200000093HDR8318192
MA,6100,CA220000011,3,LOCAL MOBILITY ADA SIDEWALK & RAMP IMPS GRP 27 IDIQ CITY WID,Capital Contracting Office,unknown,unknown,4500000,3688741.94,2979637.73,2022-06-30T00:00:00.000Z,2024-10-19T00:00:00.000Z,10,Competitive Acquisition,0022-06-16T00:00:00.000Z,25,Construction,1,VS0000017696,AUSTIN CONSTRUCTORS LLC,N/A,IFB,6100,CLMC913,2026-05-11T00:00:00.000Z,MA6100CA2200000113VS0000017696
CT,6100,22062900680,5,ZEBRA MUSSEL MITIGATION,Contract and Land Management Department,unknown,unknown,4491157,4491157,1657417.82,2023-01-26T00:00:00.000Z,,10,Competitive Acquisition,0022-06-16T00:00:00.000Z,19,Professional Services,1,EXC7152535,"EXCEL CONSTRUCTION SERVICES, L L C",EXCEL CONSTRUCTION SVCS L L C,IFB,6100,CLMC919,2026-05-11T00:00:00.000Z,CT6100220629006805EXC7152535
MA,6100,SA210000002,8,PROFESSIONAL SERVICES FOR DOUGHERTY ARTS CENTER FACILITY REP,Capital Contracting Office,unknown,unknown,4360986.13,4360986.13,3226824.11,2020-11-16T00:00:00.000Z,2024-07-31T00:00:00.000Z,55,Pers / Prof / Plan Svcs (252),0020-06-11T00:00:00.000Z,1,Sole and Single Source,1,VC0000103087,STUDIO 8 ARCHITECTS INC,STUDIO 8 ARCHITECTS,RFQS,6100,CLMP294,2026-05-11T00:00:00.000Z,MA6100SA2100000028VC0000103087
CT,6100,20013100314,8,WASTEWATER COLLECTION SYSTEM REPLACEMENT LINES- NORTH,Contract and Land Management Department,unknown,unknown,4201715.09,4201715.09,4163610.09,2020-02-03T00:00:00.000Z,,10,Competitive Acquisition,0020-01-23T00:00:00.000Z,17,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC738,2026-05-11T00:00:00.000Z,CT6100200131003148FAC8317993
MA,6100,SA210000004,3,PSA FOR MEXICAN AMERICAN CULTURAL CENTER  PHASE 2,Capital Contracting Office,unknown,unknown,4090531.14,4090531.14,2706788.05,2020-11-16T00:00:00.000Z,2025-06-30T00:00:00.000Z,15,Alt Proc Method (252),0020-07-29T00:00:00.000Z,17,Other Contracting,1,V00000970282,MIRO RIVERA-TATIANA BILBAO LLC,MIRO RIVERA-TATIANA BILBAO,RFQS,6100,CLMP297,2026-05-11T00:00:00.000Z,MA6100SA2100000043V00000970282
MA,6200,NA190000137,8,PWD/MOWING CONTRACT FOR STREET & BRIDGE OPERATIONS,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,4050000,2013499.51,1832871.04,2019-06-11T00:00:00.000Z,2025-06-10T00:00:00.000Z,10,Competitive Acquisition,0019-06-06T00:00:00.000Z,29,Non-Professional Services,2,VC0000103523,"BRIGHTVIEW LANDSCAPE SERVICES, INC.",BRIGHTVIEW TREE CARE SERVICES,RFP,6200,CRR3000,2026-05-11T00:00:00.000Z,MA6200NA1900001378VC0000103523
MA,6200,NA190000137,8,PWD/MOWING CONTRACT FOR STREET & BRIDGE OPERATIONS,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,4050000,2013499.51,1832871.04,2019-06-11T00:00:00.000Z,2025-06-10T00:00:00.000Z,10,Competitive Acquisition,0019-06-06T00:00:00.000Z,29,Non-Professional Services,1,V00000935211,ABESCAPE GROUP LLC,N/A,RFP,6200,CRR3000,2026-05-11T00:00:00.000Z,MA6200NA1900001378V00000935211
MA,6200,NA190000137,8,PWD/MOWING CONTRACT FOR STREET & BRIDGE OPERATIONS,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,4050000,2013499.51,1832871.04,2019-06-11T00:00:00.000Z,2025-06-10T00:00:00.000Z,10,Competitive Acquisition,0019-06-06T00:00:00.000Z,29,Non-Professional Services,3,VS0000036304,GREAT WESTERN MANAGED SERVICES CORPORATION,GWC,RFP,6200,CRR3000,2026-05-11T00:00:00.000Z,MA6200NA1900001378VS0000036304
