stop_id,Stop Name,trip_count,amenity_gap,missing_shelter,missing_bench,total_calls,safety_concerns,avg_open_ticket_age_days,response_rate,risk_score,disrepair_window_days,disrepair_window_years,open_tickets,closed_tickets,max_open_ticket_age_days,open_tickets_over_3yr,Weather Exposure Reports,Safety Concerns Reports,Missing Shelter Reports,safety_incident_tickets,sidewalk_ada_tickets,weather_exposure_tickets,admin_closures_zero_days,confirmed_repairs,open_ada_tickets,score_exposure,score_safety,score_ada,score_disrepair,score_ridership,score_admin,liability_score,liability_tier,rider_exposure_days
501,Guadalupe/16th Street,2156,2,1,1,138.0,16.0,507.8,0.16,0.9581500522421074,1185,3.24,116,22,1180,9,35,16,73,9,8.0,6,22.0,0.0,116.0,20.0,20.0,20.0,14.772036474164134,14.600451467268623,10.0,99.4,CRITICAL,2554860
498,Guadalupe/W. 21st Street,1994,2,1,1,112.0,13.0,496.4,0.19,0.8602508653348648,1175,3.22,91,21,1170,7,33,13,47,7,10.0,13,21.0,0.0,91.0,20.0,15.555555555555555,15.689655172413792,14.680851063829788,13.503386004514672,9.545454545454547,89.0,CRITICAL,2342950
2613,Guadalupe/4th,1813,2,1,1,92.0,10.0,502.3,0.18,0.7805332329439733,1197,3.28,75,17,1192,6,25,10,38,6,7.0,7,17.0,0.0,75.0,20.0,13.333333333333332,12.931034482758621,14.954407294832826,12.27765237020316,7.727272727272727,81.2,CRITICAL,2170161
5940,1609 Lavaca/17th (Midblock),2215,2,1,1,142.0,19.0,507.75,0.2,0.9995783486958226,1190,3.26,113,29,1185,10,43,19,68,9,0.0,14,0.0,0.0,0.0,20.0,20.0,0.0,14.86322188449848,15.0,0.0,69.9,HIGH,2635850
5864,UT Dean Keeton Station (NB),1843,2,1,1,98.0,13.0,488.0,0.29,0.8240964412417673,1184,3.24,70,28,1179,4,23,13,39,8,0.0,7,0.0,0.0,0.0,20.0,17.77777777777778,0.0,14.772036474164134,12.48081264108352,0.0,65.0,HIGH,2182112
2643,Lavaca/4th,2147,2,1,1,135.0,12.0,509.55,0.21,0.9089936274369412,1201,3.29,106,29,1196,10,42,12,61,5,0.0,14,0.0,0.0,0.0,20.0,11.11111111111111,0.0,15.0,14.539503386004514,0.0,60.7,ELEVATED,2578547
2763,Vic Mathias/Auditorium Shores (SB),1831,2,1,1,95.0,8.0,500.125,0.25,0.7664484133358901,1196,3.27,71,24,1182,6,36,8,47,5,0.0,10,0.0,0.0,0.0,20.0,11.11111111111111,0.0,14.908814589665653,12.399548532731377,0.0,58.4,ELEVATED,2189876
5868,Republic Square Station (NB),1495,2,1,1,82.0,9.0,509.9,0.22,0.7468495181616011,1174,3.21,64,18,1169,4,24,9,36,5,0.0,6,0.0,0.0,0.0,20.0,11.11111111111111,0.0,14.635258358662615,10.124153498871332,0.0,55.9,ELEVATED,1755130
5859,North Lamar Transit Center,1432,2,1,1,67.0,8.0,508.8,0.22,0.6991356428119817,1173,3.21,52,15,1168,6,16,8,24,5,0.0,5,0.0,0.0,0.0,20.0,11.11111111111111,0.0,14.635258358662615,9.697516930022573,0.0,55.4,ELEVATED,1679736
6315,8th Street NB (Trinity/8th),1435,2,1,1,68.0,10.0,496.25,0.35,0.720191796208242,1131,3.1,44,24,1126,1,17,10,26,4,0.0,5,0.0,0.0,0.0,20.0,8.88888888888889,0.0,14.133738601823708,9.717832957110609,0.0,52.7,ELEVATED,1622985
1368,501 Pleasant Valley/5th,1554,2,1,1,85.0,7.0,498.475,0.21,0.7309506173611273,1200,3.29,67,18,1195,10,33,7,37,3,0.0,13,0.0,0.0,0.0,20.0,6.666666666666666,0.0,15.0,10.52370203160271,0.0,52.2,ELEVATED,1864800
5349,West 38th Station (SB),1471,2,1,1,72.0,6.0,495.8250000000001,0.24,0.6878623383035176,1199,3.28,55,17,1194,10,21,6,41,3,0.0,9,0.0,0.0,0.0,20.0,6.666666666666666,0.0,14.954407294832826,9.961625282167043,0.0,51.6,ELEVATED,1763729
6314,115 7Th/Colorado,1740,2,1,1,88.0,4.0,502.3,0.23,0.7075161832775536,1181,3.23,68,20,1176,5,28,4,47,2,0.0,13,0.0,0.0,0.0,20.0,4.444444444444445,0.0,14.72644376899696,11.783295711060948,0.0,51.0,ELEVATED,2054940
5849,Northcross Station (SB),1494,2,1,1,78.0,7.0,490.425,0.23,0.7121183553047727,1186,3.25,60,18,1181,4,27,7,36,2,0.0,11,0.0,0.0,0.0,20.0,4.444444444444445,0.0,14.817629179331307,10.117381489841986,0.0,49.4,MODERATE,1771884
5879,Bluebonnet Station (SB),1486,2,1,1,75.0,10.0,507.2,0.31,0.7395927972330218,1175,3.22,52,23,1170,3,21,10,29,2,0.0,9,0.0,0.0,0.0,20.0,4.444444444444445,0.0,14.680851063829788,10.063205417607223,0.0,49.2,MODERATE,1746050
